code,name,outstanding,timeToMarket
600131,岷江水电,3.97,19980402
002349,精华制药,7.76,20100203
002905,金逸影视,0.67,20171016
600804,鹏博士,14.32,19940103
600789,鲁抗医药,5.82,19970226
300612,宣亚国际,0.45,20170215
601005,重庆钢铁,83.8,20070228
002923,润都股份,0.3,20180105
603288,海天味业,26.97,20140211
002590,万安科技,4.25,20110610
002168,深圳惠程,7.72,20070919
000518,四环生物,10.3,19930908
300200,高盟新材,2.03,20110407
000955,欣龙控股,5.38,19991209
000042,中洲控股,4.88,19940921
300633,开立医疗,1.22,20170406
300346,南大光电,2.36,20120807
600280,中央商场,11.48,20000926
002097,山河智能,6.01,20061222
002925,盈趣科技,0.75,20180115
002119,康强电子,2.83,20070302
600598,北大荒,17.78,20020329
603019,中科曙光,6.43,20141106
300490,华自科技,0.91,20151231
600698,湖南天雁,7.37,19931206
300192,科斯伍德,1.74,20110322
002686,亿利达,3.26,20120703
603768,常青股份,0.7,20170324
600477,杭萧钢构,16.38,20031110
300150,世纪瑞尔,4.5,20101222
300517,海波重科,0.41,20160719
600893,航发动力,19.48,19960408
300595,欧普康视,1.37,20170117
000869,张 裕Ａ,4.53,20001026
600694,大商股份,2.94,19931122
300705,九典制药,0.59,20171010
300549,优德精密,0.61,20160930
002840,华统股份,1.47,20170110
600795,国电电力,196.5,19970318
600826,兰生股份,4.21,19940204
603027,千禾味业,1.33,20160307
002294,信立泰,10.46,20090910
002861,瀛通通讯,0.53,20170413
603722,阿科力,0.22,20171025
000949,新乡化纤,12.2,19991021
600033,福建高速,27.44,20010209
000615,京汉股份,3.54,19961016
600987,航民股份,6.35,20040809
600655,豫园股份,14.37,19920902
000819,岳阳兴长,2.71,19970625
002287,奇正藏药,4.06,20090828
002877,智能自控,0.52,20170605
600638,新黄浦,5.61,19930326
601700,风范股份,11.33,20110118
002603,以岭药业,9.89,20110728
300482,万孚生物,1.24,20150630
002516,旷达科技,9.5,20101207
000739,普洛药业,11.47,19970509
600572,康恩贝,25.04,20040412
002627,宜昌交运,1.32,20111103
000533,万 家 乐,6.85,19940103
600780,通宝能源,11.47,19961205
601226,华电重工,11.55,20141211
600540,新赛股份,4.71,20040107
002859,洁美科技,1.08,20170407
300719,安达维尔,0.63,20171109
002674,兴业科技,2.4,20120507
603160,汇顶科技,2.3,20161017
600460,士兰微,12.47,20030311
300390,天华超净,1.85,20140731
600371,万向德农,2.25,20020916
601018,宁波港,128.0,20100928
002418,康盛股份,5.83,20100601
000698,沈阳化工,4.32,19970220
600213,亚星客车,2.2,19990831
000791,甘肃电投,9.71,19971014
600365,通葡股份,4.0,20010115
